word	chosen_tier	also_fits	alternative_split
𐤅𐤉𐤄𐤅𐤔𐤐𐤈	exact	proclitic	𐤅 + 𐤉𐤄𐤅𐤔𐤐𐤈
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤅𐤓𐤌	adjacent	particle	𐤀𐤕 + 𐤉𐤅𐤓𐤌
𐤅𐤉𐤅𐤓𐤌	exact	proclitic	𐤅 + 𐤉𐤅𐤓𐤌
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤏𐤆𐤉𐤄𐤅	adjacent	particle	𐤀𐤕 + 𐤏𐤆𐤉𐤄𐤅
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤅𐤕𐤌	plene	particle	𐤀𐤕 + 𐤉𐤅𐤕𐤌
𐤅𐤉𐤅𐤕𐤌	exact	proclitic	𐤅 + 𐤉𐤅𐤕𐤌
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤅𐤀𐤇𐤆	exact	plene	𐤅𐤉𐤀𐤇𐤆𐤅
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤇𐤆𐤒𐤉𐤄𐤅	adjacent	particle	𐤀𐤕 + 𐤉𐤇𐤆𐤒𐤉𐤄𐤅
𐤅𐤉𐤇𐤆𐤒𐤉𐤄𐤅	exact	proclitic	𐤅 + 𐤉𐤇𐤆𐤒𐤉𐤄𐤅
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤌𐤍𐤔𐤄	adjacent	particle	𐤀𐤕 + 𐤌𐤍𐤔𐤄
𐤅𐤌𐤍𐤔𐤄	exact	plene	𐤌𐤍𐤔𐤄
