word	chosen_tier	also_fits	alternative_split
𐤅𐤊𐤊𐤋	exact	plene	𐤊𐤊𐤋
𐤔𐤌𐤏𐤍𐤅	exact	plene	𐤔𐤌𐤏𐤍
𐤔𐤍𐤏𐤔𐤄	exact	proclitic	𐤔 + 𐤍𐤏𐤔𐤄
𐤁𐤊𐤐𐤓	exact	proclitic	𐤁 + 𐤊𐤐𐤓
𐤍𐤇𐤅𐤌	exact	plene	𐤅𐤉𐤍𐤇𐤌
𐤁𐤏𐤉𐤓	exact	plene	𐤁𐤏𐤓𐤉
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤁𐤀𐤓𐤑	exact	proclitic	𐤁 + 𐤀𐤓𐤑
𐤅𐤀𐤌𐤕	exact	plene	𐤅𐤀𐤌𐤕𐤅
𐤀𐤌𐤓	exact	plene	𐤅𐤉𐤀𐤌𐤓
𐤁𐤉𐤔𐤓𐤀𐤋	exact	proclitic	𐤁 + 𐤉𐤔𐤓𐤀𐤋
𐤁𐤉𐤌𐤉	exact	proclitic	𐤁 + 𐤉𐤌𐤉
𐤀𐤋𐤉𐤄𐤅	exact	plene	𐤀𐤋𐤄
𐤁𐤄𐤏𐤑𐤓	exact	proclitic	𐤁 + 𐤄 + 𐤏𐤑𐤓
𐤄𐤔𐤌𐤉𐤌	exact	proclitic	𐤄 + 𐤔𐤌𐤉𐤌
𐤔𐤋𐤔	exact	plene	𐤔𐤋𐤉𐤔𐤉
𐤔𐤍𐤉𐤌	exact	plene	𐤅𐤔𐤍𐤉𐤌
𐤅𐤔𐤔𐤄	exact	plene	𐤔𐤔𐤄
𐤅𐤓𐤏𐤁	exact	plene	𐤓𐤏𐤁
𐤄𐤉𐤄	exact	proclitic	𐤄 + 𐤉𐤄
𐤀𐤋𐤉𐤄𐤅	exact	plene	𐤀𐤋𐤄
𐤌𐤄𐤍𐤄	exact	proclitic	𐤌 + 𐤄𐤍𐤄
𐤋𐤑𐤉𐤃𐤅𐤍	exact	proclitic	𐤋 + 𐤑𐤉𐤃𐤅𐤍
𐤅𐤌𐤑𐤓𐤏𐤉𐤌	plene	proclitic	𐤅 + 𐤌𐤑𐤓𐤏𐤉𐤌
𐤁𐤉𐤔𐤓𐤀𐤋	exact	proclitic	𐤁 + 𐤉𐤔𐤓𐤀𐤋
𐤁𐤉𐤌𐤉	exact	proclitic	𐤁 + 𐤉𐤌𐤉
𐤀𐤋𐤉𐤔𐤏	exact	plene	𐤅𐤀𐤋𐤉𐤔𐤅𐤏
𐤄𐤍𐤁𐤉𐤀	exact	proclitic	𐤄 + 𐤍𐤁𐤉𐤀
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤈𐤄𐤓	exact	plene	𐤈𐤄𐤅𐤓
𐤌𐤄𐤌	exact	proclitic	𐤌 + 𐤄𐤌
𐤍𐤏𐤌𐤍	exact	plene	𐤅𐤍𐤏𐤌𐤍
𐤄𐤀𐤓𐤌𐤉	exact	proclitic	𐤄 + 𐤀𐤓𐤌𐤉
𐤅𐤉𐤌𐤋𐤀𐤅	exact	plene	𐤅𐤌𐤋𐤀𐤅
𐤁𐤁𐤉𐤕	exact	proclitic	𐤁 + 𐤁𐤉𐤕
𐤇𐤌𐤄	exact	plene	𐤇𐤌𐤉𐤄
𐤁𐤔𐤌𐤏𐤌	exact	proclitic	𐤁 + 𐤔𐤌𐤏𐤌
𐤀𐤕𐤀𐤋𐤄	adjacent	particle	𐤀𐤕 + 𐤀𐤋𐤄
𐤅𐤉𐤒𐤅𐤌𐤅	exact	proclitic	𐤅 + 𐤉𐤒𐤅𐤌𐤅
𐤅𐤉𐤃𐤉𐤇𐤅	exact	proclitic	𐤅 + 𐤉𐤃𐤉𐤇𐤅
𐤋𐤏𐤉𐤓	exact	proclitic	𐤋 + 𐤏𐤉𐤓
𐤅𐤉𐤁𐤉𐤀𐤄𐤅	exact	plene	𐤅𐤉𐤁𐤀𐤄
𐤄𐤄𐤓	exact	proclitic	𐤄 + 𐤄𐤓
𐤏𐤉𐤓𐤌	exact	plene	𐤏𐤓𐤅𐤌
𐤏𐤁𐤓	exact	plene	𐤅𐤉𐤏𐤁𐤓
𐤁𐤕𐤅𐤊𐤌	exact	plene	𐤁𐤕𐤉𐤊𐤌
𐤅𐤉𐤋𐤊	exact	proclitic	𐤅 + 𐤉𐤋𐤊
𐤋𐤃𐤓𐤊𐤅	exact	proclitic	𐤋 + 𐤃𐤓𐤊𐤅
𐤅𐤉𐤓𐤃	exact	proclitic	𐤅 + 𐤉𐤓𐤃
𐤄𐤂𐤋𐤉𐤋	exact	proclitic	𐤄 + 𐤂𐤋𐤉𐤋
𐤁𐤔𐤁𐤕𐤅𐤕	exact	plene	𐤅𐤁𐤔𐤁𐤕𐤅𐤕
𐤃𐤁𐤓𐤅	exact	plene	𐤅𐤉𐤃𐤁𐤓
𐤅𐤀𐤉𐤔	exact	proclitic	𐤅 + 𐤀𐤉𐤔
𐤄𐤉𐤄	exact	proclitic	𐤄 + 𐤉𐤄
𐤁𐤁𐤉𐤕	exact	proclitic	𐤁 + 𐤁𐤉𐤕
𐤅𐤁𐤅	exact	proclitic	𐤅 + 𐤁𐤅
𐤅𐤉𐤑𐤏𐤒	exact	proclitic	𐤅 + 𐤉𐤑𐤏𐤒
𐤁𐤒𐤅𐤋	exact	plene	𐤁𐤒𐤋𐤉
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤀𐤄𐤄	exact	plene	𐤅𐤀𐤄𐤉𐤄
𐤌𐤄𐤋𐤍𐤅	adjacent	proclitic	𐤌 + 𐤄𐤋𐤍𐤅
𐤅𐤋𐤊	exact	proclitic	𐤅 + 𐤋𐤊
𐤄𐤍𐤑𐤓𐤉	plene	proclitic	𐤄 + 𐤍𐤑𐤓𐤉
𐤁𐤀𐤕	exact	plene	𐤅𐤁𐤀𐤕
𐤒𐤃𐤅𐤔	exact	plene	𐤅𐤉𐤒𐤃𐤔
𐤄𐤀𐤋𐤄𐤉𐤌	exact	proclitic	𐤄 + 𐤀𐤋𐤄𐤉𐤌
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤄𐤀𐤋𐤌	exact	plene	𐤄𐤀𐤉𐤋𐤌
𐤅𐤑𐤀	exact	proclitic	𐤅 + 𐤑𐤀
𐤌𐤌𐤍𐤅	exact	proclitic	𐤌 + 𐤌𐤍𐤅
𐤄𐤔𐤃	exact	proclitic	𐤄 + 𐤔𐤃
𐤁𐤕𐤅𐤊𐤌	exact	plene	𐤁𐤕𐤉𐤊𐤌
𐤅𐤉𐤑𐤀	exact	proclitic	𐤅 + 𐤉𐤑𐤀
𐤌𐤌𐤍𐤅	exact	proclitic	𐤌 + 𐤌𐤍𐤅
𐤄𐤓𐤏	exact	proclitic	𐤄 + 𐤓𐤏
𐤅𐤕𐤐𐤋	exact	proclitic	𐤅 + 𐤕𐤐𐤋
𐤀𐤉𐤌𐤄	exact	plene	𐤀𐤌𐤄
𐤅𐤉𐤃𐤁𐤓𐤅	exact	plene	𐤅𐤉𐤃𐤁𐤓
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤄𐤃𐤁𐤓	exact	proclitic	𐤄 + 𐤃𐤁𐤓
𐤄𐤆𐤄	exact	proclitic	𐤄 + 𐤆𐤄
𐤅𐤁𐤂𐤁𐤅𐤓𐤄	plene	proclitic	𐤅 + 𐤁𐤂𐤁𐤅𐤓𐤄
𐤌𐤑𐤅𐤄	exact	proclitic	𐤌 + 𐤑𐤅𐤄
𐤋𐤓𐤅𐤇𐤅𐤕	plene	proclitic	𐤋 + 𐤓𐤅𐤇𐤅𐤕
𐤄𐤈𐤌𐤀𐤄	exact	proclitic	𐤄 + 𐤈𐤌𐤀𐤄
𐤅𐤄𐤌𐤄	exact	plene	𐤄𐤌𐤄
𐤅𐤔𐤌𐤏𐤅	exact	plene	𐤅𐤉𐤔𐤌𐤏𐤅
𐤄𐤅𐤋𐤊	exact	plene	𐤄𐤋𐤅𐤊
𐤄𐤊𐤊𐤓	exact	proclitic	𐤄 + 𐤊𐤊𐤓
𐤅𐤉𐤒𐤌	exact	proclitic	𐤅 + 𐤉𐤒𐤌
𐤌𐤁𐤉𐤕	exact	proclitic	𐤌 + 𐤁𐤉𐤕
𐤅𐤉𐤁𐤀	exact	proclitic	𐤅 + 𐤉𐤁𐤀
𐤔𐤌𐤏𐤅𐤍	exact	plene	𐤔𐤌𐤏𐤍
𐤅𐤇𐤌𐤅𐤕	plene	proclitic	𐤅 + 𐤇𐤌𐤅𐤕
𐤔𐤌𐤏𐤅𐤍	exact	plene	𐤔𐤌𐤏𐤍
𐤁𐤏𐤃𐤄	exact	proclitic	𐤁 + 𐤏𐤃𐤄
𐤅𐤉𐤕𐤉𐤑𐤁	exact	plene	𐤅𐤉𐤕𐤉𐤑𐤁𐤅
𐤏𐤋𐤉𐤄	exact	plene	𐤉𐤏𐤋𐤄
𐤅𐤉𐤂𐤏𐤓	exact	proclitic	𐤅 + 𐤉𐤂𐤏𐤓
𐤅𐤕𐤓𐤐	plene	proclitic	𐤅 + 𐤕𐤓𐤐
𐤌𐤌𐤍𐤄	exact	proclitic	𐤌 + 𐤌𐤍𐤄
𐤅𐤕𐤒𐤌	exact	proclitic	𐤅 + 𐤕𐤒𐤌
𐤌𐤄𐤓𐤄	exact	proclitic	𐤌 + 𐤄𐤓𐤄
𐤅𐤊𐤁𐤅𐤀	exact	plene	𐤊𐤁𐤅𐤀
𐤄𐤔𐤌𐤔	exact	proclitic	𐤄 + 𐤔𐤌𐤔
𐤄𐤁𐤉𐤀𐤅	exact	plene	𐤄𐤁𐤉𐤀
𐤋𐤄𐤌	exact	proclitic	𐤋 + 𐤄𐤌
𐤔𐤅𐤍𐤉𐤌	exact	plene	𐤅𐤔𐤍𐤉𐤌
𐤅𐤉𐤓𐤐𐤀	exact	proclitic	𐤅 + 𐤉𐤓𐤐𐤀
𐤀𐤅𐤕𐤌	exact	plene	𐤀𐤕𐤌
𐤁𐤔𐤅𐤌𐤅	exact	plene	𐤁𐤔𐤌
𐤀𐤕𐤉𐤃𐤉𐤅	adjacent	particle	𐤀𐤕 + 𐤉𐤃𐤉𐤅
𐤌𐤄𐤌	exact	proclitic	𐤌 + 𐤄𐤌
𐤌𐤓𐤁𐤉𐤌	exact	proclitic	𐤌 + 𐤓𐤁𐤉𐤌
𐤅𐤀𐤌𐤓𐤉𐤌	exact	plene	𐤀𐤌𐤓𐤉𐤌
𐤄𐤌𐤔𐤉𐤇	exact	proclitic	𐤄 + 𐤌𐤔𐤉𐤇
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤍𐤕𐤍𐤌	exact	plene	𐤅𐤍𐤕𐤍𐤌
𐤋𐤃𐤁𐤓	exact	proclitic	𐤋 + 𐤃𐤁𐤓
𐤄𐤌𐤔𐤉𐤇	exact	proclitic	𐤄 + 𐤌𐤔𐤉𐤇
𐤅𐤉𐤑𐤀	exact	proclitic	𐤅 + 𐤉𐤑𐤀
𐤅𐤉𐤋𐤊𐤋𐤅	plene	adjacent	𐤅𐤉𐤋𐤊 + 𐤋𐤅
𐤊𐤀𐤅𐤓	exact	plene	𐤅𐤊𐤀𐤓𐤉
𐤄𐤁𐤒𐤓	exact	proclitic	𐤄 + 𐤁𐤒𐤓
𐤅𐤄𐤌𐤅𐤍	exact	plene	𐤄𐤌𐤍
𐤄𐤏𐤌	exact	proclitic	𐤄 + 𐤏𐤌
𐤁𐤒𐤔𐤄𐤅	exact	plene	𐤅𐤉𐤁𐤒𐤔𐤄𐤅
𐤅𐤉𐤁𐤀𐤅	exact	proclitic	𐤅 + 𐤉𐤁𐤀𐤅
𐤋𐤁𐤋𐤕𐤉	exact	proclitic	𐤋 + 𐤁𐤋𐤕𐤉
𐤌𐤄𐤌	exact	proclitic	𐤌 + 𐤄𐤌
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤋𐤄𐤌	exact	proclitic	𐤋 + 𐤄𐤌
𐤋𐤁𐤔𐤓	exact	proclitic	𐤋 + 𐤁𐤔𐤓
𐤄𐤀𐤇𐤓𐤅𐤕	plene	proclitic	𐤄 + 𐤀𐤇𐤓𐤅𐤕
𐤌𐤋𐤊𐤅𐤕	exact	plene	𐤌𐤋𐤊𐤕𐤅
𐤄𐤀𐤋𐤄𐤉𐤌	exact	proclitic	𐤄 + 𐤀𐤋𐤄𐤉𐤌
𐤋𐤆𐤀𐤕	exact	proclitic	𐤋 + 𐤆𐤀𐤕
𐤔𐤋𐤇𐤕𐤉	exact	plene	𐤅𐤔𐤋𐤇𐤕𐤉
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤒𐤅𐤓𐤀	exact	plene	𐤅𐤉𐤒𐤓𐤀
𐤁𐤁𐤕𐤉	exact	plene	𐤁𐤁𐤉𐤕
𐤁𐤂𐤋𐤉𐤋	exact	plene	𐤁𐤂𐤋𐤋
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤄𐤌𐤅𐤍	exact	plene	𐤄𐤌𐤍
𐤄𐤏𐤌	exact	proclitic	𐤄 + 𐤏𐤌
𐤋𐤔𐤌𐤏	exact	proclitic	𐤋 + 𐤔𐤌𐤏
𐤀𐤕𐤃𐤁𐤓	adjacent	particle	𐤀𐤕 + 𐤃𐤁𐤓
𐤄𐤀𐤋𐤄𐤉𐤌	exact	proclitic	𐤄 + 𐤀𐤋𐤄𐤉𐤌
𐤅𐤄𐤅𐤀	exact	proclitic	𐤅 + 𐤄𐤅𐤀
𐤏𐤌𐤃	exact	plene	𐤏𐤌𐤃𐤉
𐤅𐤉𐤓𐤀	exact	proclitic	𐤅 + 𐤉𐤓𐤀
𐤏𐤌𐤃𐤅𐤕	exact	plene	𐤏𐤌𐤃𐤕
𐤄𐤉𐤌	exact	proclitic	𐤄 + 𐤉𐤌
𐤅𐤄𐤃𐤉𐤂𐤉𐤌	plene	proclitic	𐤅 + 𐤄𐤃𐤉𐤂𐤉𐤌
𐤌𐤄𐤍	exact	proclitic	𐤌 + 𐤄𐤍
𐤅𐤉𐤓𐤇𐤑𐤅	exact	plene	𐤅𐤓𐤇𐤑𐤅
𐤅𐤉𐤓𐤃	exact	proclitic	𐤅 + 𐤉𐤓𐤃
𐤋𐤔𐤌𐤏𐤅𐤍	exact	proclitic	𐤋 + 𐤔𐤌𐤏𐤅𐤍
𐤅𐤉𐤁𐤒𐤔	exact	proclitic	𐤅 + 𐤉𐤁𐤒𐤔
𐤌𐤌𐤍𐤅	exact	proclitic	𐤌 + 𐤌𐤍𐤅
𐤌𐤏𐤈	exact	proclitic	𐤌 + 𐤏𐤈
𐤀𐤋𐤄𐤉𐤌	exact	adjacent	𐤀𐤋 + 𐤄𐤉𐤌
𐤅𐤉𐤔𐤁	exact	proclitic	𐤅 + 𐤉𐤔𐤁
𐤅𐤉𐤋𐤌𐤃	exact	plene	𐤉𐤋𐤌𐤃
𐤀𐤕𐤄𐤏𐤌	adjacent	particle	𐤀𐤕 + 𐤄𐤏𐤌
𐤌𐤕𐤅𐤊	exact	proclitic	𐤌 + 𐤕𐤅𐤊
𐤄𐤀𐤍𐤉𐤄	plene	proclitic	𐤄 + 𐤀𐤍𐤉𐤄
𐤅𐤉𐤊𐤋	exact	proclitic	𐤅 + 𐤉𐤊𐤋
𐤋𐤃𐤁𐤓	exact	proclitic	𐤋 + 𐤃𐤁𐤓
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤄𐤉𐤌	exact	proclitic	𐤄 + 𐤉𐤌
𐤅𐤄𐤅𐤓𐤉𐤃𐤅	exact	proclitic	𐤅 + 𐤄𐤅𐤓𐤉𐤃𐤅
𐤋𐤑𐤅𐤃	exact	proclitic	𐤋 + 𐤑𐤅𐤃
𐤅𐤉𐤏𐤍	exact	proclitic	𐤅 + 𐤉𐤏𐤍
𐤔𐤌𐤏𐤅𐤍	exact	plene	𐤔𐤌𐤏𐤍
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤊𐤋𐤄𐤋𐤉𐤋𐤄	adjacent	proclitic	𐤊 + 𐤋 + 𐤄𐤋𐤉𐤋𐤄
𐤉𐤂𐤏𐤍𐤅	exact	plene	𐤂𐤅𐤏𐤍𐤅
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤋𐤊𐤃𐤍𐤅	exact	proclitic	𐤋 + 𐤊 + 𐤃𐤍𐤅
𐤏𐤋𐤐𐤉	plene	adjacent	𐤏𐤋 + 𐤐𐤉
𐤅𐤉𐤋𐤊𐤃𐤅	exact	proclitic	𐤅 + 𐤉𐤋𐤊𐤃𐤅
𐤄𐤓𐤁𐤄	exact	proclitic	𐤄 + 𐤓𐤁𐤄
𐤁𐤀𐤍𐤉𐤄	exact	plene	𐤉𐤁𐤉𐤀𐤍𐤄
𐤄𐤔𐤍𐤉𐤕	exact	proclitic	𐤄 + 𐤔𐤍𐤉𐤕
𐤋𐤁𐤅𐤀	exact	proclitic	𐤋 + 𐤁𐤅𐤀
𐤀𐤋𐤉𐤄𐤌	exact	plene	𐤀𐤋𐤄𐤉𐤌
𐤅𐤉𐤁𐤀𐤅	exact	proclitic	𐤅 + 𐤉𐤁𐤀𐤅
𐤅𐤉𐤌𐤋𐤀𐤅	exact	plene	𐤅𐤌𐤋𐤀𐤅
𐤀𐤕𐤔𐤕𐤉	adjacent	particle	𐤀𐤕 + 𐤔𐤕𐤉
𐤏𐤃𐤊𐤉	plene	adjacent	𐤏𐤃 + 𐤊𐤉
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤊𐤓𐤀𐤅𐤕	exact	plene	𐤊𐤓𐤀𐤕
𐤔𐤌𐤏𐤅𐤍	exact	plene	𐤔𐤌𐤏𐤍
𐤀𐤕𐤆𐤀𐤕	adjacent	particle	𐤀𐤕 + 𐤆𐤀𐤕
𐤅𐤉𐤐𐤋	exact	proclitic	𐤅 + 𐤉𐤐𐤋
𐤋𐤁𐤓𐤊𐤉	plene	proclitic	𐤋 + 𐤁𐤓𐤊𐤉
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤌𐤏𐤌𐤉	exact	plene	𐤌𐤏𐤌𐤅
𐤊𐤉𐤀𐤉𐤔	plene	adjacent	𐤊𐤉 + 𐤀𐤉𐤔
𐤇𐤅𐤈𐤀	exact	plene	𐤇𐤈𐤀𐤅
𐤔𐤌𐤄	exact	proclitic	𐤔 + 𐤌𐤄
𐤄𐤇𐤆𐤉𐤒𐤄	exact	plene	𐤄𐤇𐤆𐤒𐤄
𐤄𐤃𐤂𐤉𐤌	exact	proclitic	𐤄 + 𐤃𐤂𐤉𐤌
𐤅𐤊𐤍	exact	proclitic	𐤅 + 𐤊𐤍
𐤀𐤕𐤉𐤏𐤒𐤁	adjacent	particle	𐤀𐤕 + 𐤉𐤏𐤒𐤁
𐤆𐤁𐤃𐤉	exact	plene	𐤆𐤁𐤃
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤌𐤏𐤕𐤄	exact	proclitic	𐤌 + 𐤏𐤕𐤄
𐤅𐤉𐤏𐤆𐤁𐤅	exact	plene	𐤉𐤏𐤆𐤁
𐤀𐤕𐤄𐤊𐤋	adjacent	particle	𐤀𐤕 + 𐤄𐤊𐤋
𐤅𐤉𐤋𐤊𐤅	exact	proclitic	𐤅 + 𐤉𐤋𐤊𐤅
𐤀𐤇𐤓𐤉𐤅	exact	plene	𐤀𐤇𐤓
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤁𐤄𐤉𐤅𐤕𐤅	exact	plene	𐤁𐤄𐤉𐤅𐤕
𐤁𐤀𐤇𐤕	exact	proclitic	𐤁 + 𐤀𐤇𐤕
𐤄𐤏𐤓𐤉𐤌	exact	proclitic	𐤄 + 𐤏𐤓𐤉𐤌
𐤌𐤋𐤀	exact	plene	𐤅𐤌𐤋𐤀𐤅
𐤅𐤉𐤓𐤀	exact	proclitic	𐤅 + 𐤉𐤓𐤀
𐤅𐤉𐤐𐤋	exact	proclitic	𐤅 + 𐤉𐤐𐤋
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤅𐤉𐤔𐤋𐤇	exact	plene	𐤉𐤔𐤋𐤇
𐤀𐤕𐤉𐤃𐤅	adjacent	particle	𐤀𐤕 + 𐤉𐤃𐤅
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤈𐤄𐤓	exact	plene	𐤈𐤄𐤅𐤓
𐤅𐤐𐤕𐤀𐤌	exact	plene	𐤐𐤕𐤀𐤌
𐤌𐤌𐤍𐤅	exact	proclitic	𐤌 + 𐤌𐤍𐤅
𐤄𐤑𐤓𐤏𐤕	exact	proclitic	𐤄 + 𐤑𐤓𐤏𐤕
𐤋𐤁𐤋𐤕𐤉	exact	proclitic	𐤋 + 𐤁𐤋𐤕𐤉
𐤋𐤀𐤉𐤔	exact	adjacent	𐤋𐤀 + 𐤉𐤔
𐤀𐤌𐤋𐤊	exact	plene	𐤅𐤀𐤌𐤋𐤉𐤊
𐤅𐤄𐤓𐤀𐤄	exact	plene	𐤄𐤓𐤀𐤄
𐤅𐤄𐤒𐤓𐤁	exact	plene	𐤄𐤒𐤓𐤉𐤁
𐤊𐤀𐤔𐤓	exact	proclitic	𐤊 + 𐤀𐤔𐤓
𐤌𐤔𐤄	exact	proclitic	𐤌 + 𐤔𐤄
𐤋𐤏𐤃𐤅𐤕	plene	proclitic	𐤋 + 𐤏𐤃𐤅𐤕
𐤋𐤄𐤌	exact	proclitic	𐤋 + 𐤄𐤌
𐤅𐤔𐤌𐤏𐤅	exact	plene	𐤅𐤉𐤔𐤌𐤏𐤅
𐤄𐤅𐤋𐤊	exact	plene	𐤄𐤋𐤅𐤊
𐤅𐤂𐤃𐤋	exact	plene	𐤂𐤃𐤅𐤋
𐤅𐤉𐤒𐤁𐤑𐤅	exact	proclitic	𐤅 + 𐤉𐤒𐤁𐤑𐤅
𐤋𐤔𐤌𐤅𐤏	exact	plene	𐤋𐤔𐤌𐤏
𐤅𐤋𐤄𐤓𐤐𐤀	plene	proclitic	𐤅 + 𐤋𐤄𐤓𐤐𐤀
𐤁𐤉𐤃𐤅	exact	proclitic	𐤁 + 𐤉𐤃𐤅
𐤅𐤄𐤅𐤀	exact	proclitic	𐤅 + 𐤄𐤅𐤀
𐤅𐤉𐤕𐤐𐤋𐤋	exact	proclitic	𐤅 + 𐤉𐤕𐤐𐤋𐤋
𐤅𐤉𐤄𐤉	exact	proclitic	𐤅 + 𐤉𐤄𐤉
𐤁𐤀𐤇𐤃	exact	proclitic	𐤁 + 𐤀𐤇𐤃
𐤄𐤉𐤌𐤉𐤌	exact	plene	𐤄𐤌𐤉𐤌
𐤅𐤄𐤅𐤀	exact	proclitic	𐤅 + 𐤄𐤅𐤀
𐤌𐤋𐤌𐤃	exact	proclitic	𐤌 + 𐤋𐤌𐤃
𐤅𐤉𐤔𐤁𐤅	exact	proclitic	𐤅 + 𐤉𐤔𐤁𐤅
𐤄𐤕𐤅𐤓𐤄	exact	plene	𐤅𐤄𐤕𐤅𐤓𐤄
𐤁𐤀𐤅	exact	proclitic	𐤁 + 𐤀𐤅
𐤄𐤂𐤋𐤉𐤋	exact	proclitic	𐤄 + 𐤂𐤋𐤉𐤋
𐤅𐤌𐤉𐤄𐤅𐤃𐤄	exact	plene	𐤌𐤉𐤄𐤅𐤃𐤄
𐤅𐤉𐤓𐤅𐤔𐤋𐤉𐤌	exact	plene	𐤉𐤓𐤅𐤔𐤋𐤌
𐤋𐤓𐤐𐤅𐤀	exact	proclitic	𐤋 + 𐤓𐤐𐤅𐤀
𐤅𐤄𐤍𐤄	exact	plene	𐤄𐤍𐤄
𐤁𐤌𐤈𐤄	exact	proclitic	𐤁 + 𐤌𐤈𐤄
𐤅𐤄𐤅𐤀	exact	proclitic	𐤅 + 𐤄𐤅𐤀
𐤅𐤉𐤁𐤒𐤔𐤅	exact	plene	𐤅𐤉𐤁𐤒𐤔
𐤋𐤄𐤁𐤉𐤀𐤅	plene	proclitic	𐤋 + 𐤄𐤁𐤉𐤀𐤅
𐤄𐤁𐤉𐤕𐤄	exact	proclitic	𐤄 + 𐤁𐤉𐤕𐤄
𐤅𐤋𐤔𐤅𐤌	exact	plene	𐤅𐤋𐤔𐤌
𐤋𐤐𐤍𐤉𐤅	exact	plene	𐤋𐤐𐤍𐤉
𐤌𐤓𐤁	exact	proclitic	𐤌 + 𐤓𐤁
𐤄𐤏𐤌	exact	proclitic	𐤄 + 𐤏𐤌
𐤅𐤉𐤏𐤋𐤅	exact	proclitic	𐤅 + 𐤉𐤏𐤋𐤅
𐤋𐤕𐤅𐤊	plene	proclitic	𐤋 + 𐤕𐤅𐤊
𐤄𐤁𐤉𐤕	exact	plene	𐤄𐤁𐤕
𐤋𐤐𐤍𐤉	exact	proclitic	𐤋 + 𐤐𐤍𐤉
𐤅𐤉𐤓𐤀	exact	proclitic	𐤅 + 𐤉𐤓𐤀
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤇𐤈𐤀𐤕𐤉𐤊	exact	plene	𐤇𐤈𐤀𐤕𐤊
𐤅𐤉𐤇𐤋𐤅	exact	proclitic	𐤅 + 𐤉𐤇𐤋𐤅
𐤄𐤎𐤅𐤐𐤓𐤉𐤌	plene	proclitic	𐤄 + 𐤎𐤅𐤐𐤓𐤉𐤌
𐤋𐤇𐤔𐤁	exact	proclitic	𐤋 + 𐤇𐤔𐤁
𐤌𐤇𐤔𐤁𐤅𐤕	exact	plene	𐤌𐤇𐤔𐤁𐤕
𐤋𐤀𐤌𐤓	exact	proclitic	𐤋 + 𐤀𐤌𐤓
𐤄𐤌𐤃𐤁𐤓	exact	proclitic	𐤄 + 𐤌𐤃𐤁𐤓
𐤋𐤎𐤋𐤇	exact	proclitic	𐤋 + 𐤎𐤋𐤇
𐤇𐤈𐤀𐤉𐤌	exact	plene	𐤅𐤇𐤈𐤀𐤉𐤌
𐤌𐤁𐤋𐤏𐤃𐤉	exact	proclitic	𐤌 + 𐤁𐤋𐤏𐤃𐤉
𐤄𐤀𐤋𐤄𐤉𐤌	exact	proclitic	𐤄 + 𐤀𐤋𐤄𐤉𐤌
𐤅𐤉𐤃𐤏	exact	proclitic	𐤅 + 𐤉𐤃𐤏
𐤅𐤉𐤏𐤍	exact	proclitic	𐤅 + 𐤉𐤏𐤍
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤀𐤋𐤉𐤄𐤌	exact	plene	𐤀𐤋𐤄𐤉𐤌
𐤁𐤋𐤁𐤁𐤊𐤌	exact	proclitic	𐤁 + 𐤋𐤁𐤁𐤊𐤌
𐤄𐤍𐤒𐤋	exact	proclitic	𐤄 + 𐤍𐤒𐤋
𐤄𐤀𐤌𐤓	exact	plene	𐤄𐤀𐤌𐤓𐤉
𐤇𐤈𐤀𐤕𐤉𐤊	exact	plene	𐤇𐤈𐤀𐤕𐤊
