strongs	class	lemma	root_paleo	surface	count
H4036	sn-mismatch	𐤌𐤂𐤅𐤓𐤌𐤎𐤁𐤉𐤁	𐤎𐤁𐤉𐤁	𐤎𐤁𐤉𐤁	
H2701	sn-mismatch	𐤇𐤑𐤓𐤎𐤅𐤎𐤄	𐤎𐤅𐤎𐤄	𐤎𐤅𐤎𐤄	
H2702	sn-mismatch	𐤇𐤑𐤓𐤎𐤅𐤎𐤉𐤌	𐤎𐤅𐤎𐤉𐤌	𐤎𐤅𐤎𐤉𐤌	
H7823	sn-mismatch	𐤔𐤇𐤉𐤎	𐤎𐤇𐤉𐤔	𐤎𐤇𐤉𐤔	
H7158	sn-mismatch	𐤒𐤓𐤉𐤕𐤎𐤍𐤄	𐤎𐤍𐤄	𐤎𐤍𐤄	
H7158	sn-mismatch	𐤒𐤓𐤉𐤕𐤎𐤍𐤄	𐤎𐤐𐤓	𐤎𐤐𐤓	
H8556	sn-mismatch	𐤕𐤌𐤍𐤕𐤇𐤓𐤎	𐤎𐤓𐤇	𐤎𐤓𐤇	
H7249	sn-mismatch	𐤓𐤁𐤎𐤓𐤉𐤎	𐤎𐤓𐤉𐤎	𐤎𐤓𐤉𐤎	
H7802	sn-mismatch	𐤔𐤅𐤔𐤍𐤏𐤃𐤅𐤕	𐤏𐤃𐤅𐤕	𐤏𐤃𐤅𐤕	
H4029	sn-mismatch	𐤌𐤂𐤃𐤋𐤏𐤃𐤓	𐤏𐤃𐤓	𐤏𐤃𐤓	
H6560	sn-mismatch	𐤐𐤓𐤑𐤏𐤆𐤀	𐤏𐤆𐤀	𐤏𐤆𐤀	
H6560	sn-mismatch	𐤐𐤓𐤑𐤏𐤆𐤀	𐤏𐤆𐤄	𐤏𐤆𐤄	
H1041	sn-mismatch	𐤁𐤉𐤕𐤏𐤆𐤌𐤅𐤕	𐤏𐤆𐤌𐤅𐤕	𐤏𐤆𐤌𐤅𐤕	
H7320	sn-mismatch	𐤓𐤅𐤌𐤌𐤕𐤉𐤏𐤆𐤓	𐤏𐤆𐤓	𐤏𐤆𐤓	
H2703	sn-mismatch	𐤇𐤑𐤓𐤏𐤉𐤍𐤅𐤍	𐤏𐤉𐤍𐤅𐤍	𐤏𐤉𐤍𐤅𐤍	
H2704	sn-mismatch	𐤇𐤑𐤓𐤏𐤉𐤍𐤍	𐤏𐤉𐤍𐤍	𐤏𐤉𐤍𐤍	
H45	sn-mismatch	𐤀𐤁𐤉𐤏𐤋𐤁𐤅𐤍	𐤏𐤋𐤁𐤅𐤍	𐤏𐤋𐤁𐤅𐤍	
H1042	sn-mismatch	𐤁𐤉𐤕𐤏𐤍𐤅𐤕	𐤏𐤍𐤅𐤕	𐤏𐤍𐤅𐤕	
H1043	sn-mismatch	𐤁𐤉𐤕𐤏𐤍𐤕	𐤏𐤍𐤕	𐤏𐤍𐤕	
H1044	sn-mismatch	𐤁𐤉𐤕𐤏𐤒𐤃	𐤏𐤒𐤃	𐤏𐤒𐤃	
H4610	sn-mismatch	𐤌𐤏𐤋𐤄𐤏𐤒𐤓𐤁𐤉𐤌	𐤏𐤒𐤓𐤁𐤉𐤌	𐤏𐤒𐤓𐤁𐤉𐤌	
H7157	sn-mismatch	𐤒𐤓𐤉𐤕𐤉𐤏𐤓𐤉𐤌	𐤏𐤓𐤉𐤌	𐤏𐤓𐤉𐤌	
H3565	sn-mismatch	𐤊𐤅𐤓𐤏𐤔𐤍	𐤏𐤔𐤍	𐤏𐤔𐤍	
H364	sn-mismatch	𐤀𐤉𐤋𐤐𐤀𐤓𐤍	𐤐𐤀𐤓𐤍	𐤐𐤀𐤓𐤍	
H3304	sn-mismatch	𐤉𐤐𐤄𐤐𐤉𐤄	𐤐𐤉𐤄	𐤐𐤉𐤄	
H8407	sn-mismatch	𐤕𐤂𐤋𐤕𐤐𐤋𐤀𐤎𐤓	𐤐𐤋𐤀𐤎𐤓	𐤐𐤋𐤀𐤎𐤓	
H1046	sn-mismatch	𐤁𐤉𐤕𐤐𐤋𐤈	𐤐𐤋𐤈	𐤐𐤋𐤈	
H8407	sn-mismatch	𐤕𐤂𐤋𐤕𐤐𐤋𐤀𐤎𐤓	𐤐𐤋𐤍𐤀𐤎𐤓	𐤐𐤋𐤍𐤀𐤎𐤓	
H8407	sn-mismatch	𐤕𐤂𐤋𐤕𐤐𐤋𐤀𐤎𐤓	𐤐𐤋𐤍𐤎𐤓	𐤐𐤋𐤍𐤎𐤓	
H8407	sn-mismatch	𐤕𐤂𐤋𐤕𐤐𐤋𐤀𐤎𐤓	𐤐𐤋𐤎𐤓	𐤐𐤋𐤎𐤓	
H1047	sn-mismatch	𐤁𐤉𐤕𐤐𐤏𐤅𐤓	𐤐𐤏𐤅𐤓	𐤐𐤏𐤅𐤓	
H1187	sn-mismatch	𐤁𐤏𐤋𐤐𐤏𐤅𐤓	𐤐𐤏𐤅𐤓	𐤐𐤏𐤅𐤓	
H6847	sn-mismatch	𐤑𐤐𐤍𐤕𐤐𐤏𐤍𐤇	𐤐𐤏𐤍𐤇	𐤐𐤏𐤍𐤇	
H1048	sn-mismatch	𐤁𐤉𐤕𐤐𐤑𐤑	𐤐𐤑𐤑	𐤐𐤑𐤑	
H7428	sn-mismatch	𐤓𐤌𐤍𐤐𐤓𐤑	𐤐𐤓𐤑	𐤐𐤓𐤑	
H1188	sn-mismatch	𐤁𐤏𐤋𐤐𐤓𐤑𐤉𐤌	𐤐𐤓𐤑𐤉𐤌	𐤐𐤓𐤑𐤉𐤌	
H139	sn-mismatch	𐤀𐤃𐤍𐤉𐤑𐤃𐤒	𐤑𐤃𐤒	𐤑𐤃𐤒	
H4442	sn-mismatch	𐤌𐤋𐤊𐤉𐤑𐤃𐤒	𐤑𐤃𐤒	𐤑𐤃𐤒	
H2578	sn-mismatch	𐤇𐤌𐤕𐤑𐤅𐤁𐤄	𐤑𐤅𐤁𐤄	𐤑𐤅𐤁𐤄	
H760	sn-mismatch	𐤀𐤓𐤌𐤑𐤅𐤁𐤄	𐤑𐤅𐤁𐤄	𐤑𐤅𐤁𐤄	
H7436	sn-mismatch	𐤓𐤌𐤕𐤉𐤌𐤑𐤅𐤐𐤉𐤌	𐤑𐤅𐤐𐤉𐤌	𐤑𐤅𐤐𐤉𐤌	
H1049	sn-mismatch	𐤁𐤉𐤕𐤑𐤅𐤓	𐤑𐤅𐤓	𐤑𐤅𐤓	
H6301	sn-mismatch	𐤐𐤃𐤄𐤑𐤅𐤓	𐤑𐤅𐤓	𐤑𐤅𐤓	
H1189	sn-mismatch	𐤁𐤏𐤋𐤑𐤐𐤅𐤍	𐤑𐤐𐤅𐤍	𐤑𐤐𐤅𐤍	
H1189	sn-mismatch	𐤁𐤏𐤋𐤑𐤐𐤅𐤍	𐤑𐤐𐤍	𐤑𐤐𐤍	
H6495	sn-mismatch	𐤐𐤒𐤇𐤒𐤅𐤇	𐤒𐤅𐤇	𐤒𐤅𐤇	
H8423	sn-mismatch	𐤕𐤅𐤁𐤋𐤒𐤉𐤍	𐤒𐤉𐤍	𐤒𐤉𐤍	
H6255	sn-mismatch	𐤏𐤔𐤕𐤓𐤕𐤒𐤓𐤍𐤉𐤌	𐤒𐤓𐤍𐤉𐤌	𐤒𐤓𐤍𐤉𐤌	
H883	sn-mismatch	𐤁𐤀𐤓𐤋𐤇𐤉𐤓𐤀𐤉	𐤓𐤀𐤉	𐤓𐤀𐤉	
H2579	sn-mismatch	𐤇𐤌𐤕𐤓𐤁𐤄	𐤓𐤁𐤄	𐤓𐤁𐤄	
H1337	sn-mismatch	𐤁𐤕𐤓𐤁𐤉𐤌	𐤓𐤁𐤉𐤌	𐤓𐤁𐤉𐤌	
H5883	sn-mismatch	𐤏𐤉𐤍𐤓𐤂𐤋	𐤓𐤂𐤋	𐤓𐤂𐤋	
H1050	sn-mismatch	𐤁𐤉𐤕𐤓𐤇𐤅𐤁	𐤓𐤇𐤅𐤁	𐤓𐤇𐤅𐤁	
H1910	sn-mismatch	𐤄𐤃𐤃𐤓𐤌𐤅𐤍	𐤓𐤌𐤅𐤍	𐤓𐤌𐤅𐤍	
H5884	sn-mismatch	𐤏𐤉𐤍𐤓𐤌𐤅𐤍	𐤓𐤌𐤅𐤍	𐤓𐤌𐤅𐤍	
H1051	sn-mismatch	𐤁𐤉𐤕𐤓𐤐𐤀	𐤓𐤐𐤀	𐤓𐤐𐤀	
H3573	sn-mismatch	𐤊𐤅𐤔𐤍𐤓𐤔𐤏𐤕𐤉𐤌	𐤓𐤔𐤏𐤕𐤉𐤌	𐤓𐤔𐤏𐤕𐤉𐤌	
H1052	sn-mismatch	𐤁𐤉𐤕𐤔𐤀𐤍	𐤔𐤀𐤍	𐤔𐤀𐤍	
H242	sn-mismatch	𐤀𐤆𐤍𐤔𐤀𐤓𐤄	𐤔𐤀𐤓𐤄	𐤔𐤀𐤓𐤄	
H1339	sn-mismatch	𐤁𐤕𐤔𐤁𐤏	𐤔𐤁𐤏	𐤔𐤁𐤏	
H884	sn-mismatch	𐤁𐤀𐤓𐤔𐤁𐤏	𐤔𐤁𐤏	𐤔𐤁𐤏	
H1339	sn-mismatch	𐤁𐤕𐤔𐤁𐤏	𐤔𐤁𐤏	𐤔𐤁𐤏	
H884	sn-mismatch	𐤁𐤀𐤓𐤔𐤁𐤏	𐤔𐤁𐤏	𐤔𐤁𐤏	
H6701	sn-mismatch	𐤑𐤅𐤓𐤉𐤔𐤃𐤉	𐤔𐤃𐤉	𐤔𐤃𐤉	
H3026	sn-mismatch	𐤉𐤂𐤓𐤔𐤄𐤃𐤅𐤕𐤀	𐤔𐤄𐤃𐤅𐤕𐤀	𐤔𐤄𐤃𐤅𐤕𐤀	
H4444	sn-mismatch	𐤌𐤋𐤊𐤉𐤔𐤅𐤏	𐤔𐤅𐤏	𐤔𐤅𐤏	
H2705	sn-mismatch	𐤇𐤑𐤓𐤔𐤅𐤏𐤋	𐤔𐤅𐤏𐤋	𐤔𐤅𐤏𐤋	
H5855	sn-mismatch	𐤏𐤈𐤓𐤅𐤕𐤔𐤅𐤐𐤍	𐤔𐤅𐤐𐤍	𐤔𐤅𐤐𐤍	
H8387	sn-mismatch	𐤕𐤀𐤍𐤕𐤔𐤋𐤄	𐤔𐤋𐤄	𐤔𐤋𐤄	
H4122	sn-mismatch	𐤌𐤄𐤓𐤔𐤋𐤋𐤇𐤔𐤁𐤆	𐤔𐤋𐤋	𐤔𐤋𐤋	
H1190	sn-mismatch	𐤁𐤏𐤋𐤔𐤋𐤔𐤄	𐤔𐤋𐤔𐤄	𐤔𐤋𐤔𐤄	
H1053	sn-mismatch	𐤁𐤉𐤕𐤔𐤌𐤔	𐤔𐤌𐤔	𐤔𐤌𐤔	
H5885	sn-mismatch	𐤏𐤉𐤍𐤔𐤌𐤔	𐤔𐤌𐤔	𐤔𐤌𐤔	
H5905	sn-mismatch	𐤏𐤉𐤓𐤔𐤌𐤔	𐤔𐤌𐤔	𐤔𐤌𐤔	
H1052	sn-mismatch	𐤁𐤉𐤕𐤔𐤀𐤍	𐤔𐤍𐤄	𐤔𐤍	
H5371	sn-mismatch	𐤍𐤓𐤂𐤋𐤔𐤓𐤀𐤑𐤓	𐤔𐤅𐤓	𐤔𐤓	
H243	sn-mismatch	𐤀𐤆𐤍𐤅𐤕𐤕𐤁𐤅𐤓	𐤕𐤁𐤅𐤓	𐤕𐤁𐤅𐤓	
H3696	sn-mismatch	𐤊𐤎𐤋𐤕𐤕𐤁𐤓	𐤕𐤁𐤓	𐤕𐤁𐤓	
H1193	sn-mismatch	𐤁𐤏𐤋𐤕𐤌𐤓	𐤕𐤌𐤓	𐤕𐤌𐤓	
H2688	sn-mismatch	𐤇𐤑𐤑𐤅𐤍𐤕𐤌𐤓	𐤕𐤌𐤓	𐤕𐤌𐤓	
H1054	sn-mismatch	𐤁𐤉𐤕𐤕𐤐𐤅𐤇	𐤕𐤐𐤅𐤇	𐤕𐤐𐤅𐤇	
H5887	sn-mismatch	𐤏𐤉𐤍𐤕𐤐𐤅𐤇	𐤕𐤐𐤅𐤇	𐤕𐤐𐤅𐤇	
