ref	english_word	web_strongs	web_translit	oshb_strongs_in_that_verse
1:2:21	on	H121	Adam	H9000 H5307 H3068 H430 H8639 H5921 H9009 H120 H3462 H3947 H259 H9006 H6763 H5462 H1320 H8478
1:3:11	God	H430	Alahayam	H9000 H559 H4310 H5046 H9005 H3588 H5903 H859 H4480 H9009 H6086 H834 H6680 H1115 H398
1:4:10	Yahweh	H3068	Yahawah	H9000 H559 H4100 H6213 H6963 H1818 H251 H6817 H413 H4480 H9009 H127
1:6:4	men	H582	Anawash	H9009 H5303 H1961 H9003 H776 H3117 H1992 H9000 H1571 H310 H3651 H834 H935 H1121 H430 H413 H1323 H120 H3205 H9005 H1368 H9006 H5769 H376 H8034
1:9:19	three	H2490	Chalal	H7969 H428 H1121 H5146 H9000 H9006 H5310 H3605 H9009 H776
1:9:19	sons	H376	Ayash	H7969 H428 H1121 H5146 H9000 H9006 H5310 H3605 H9009 H776
1:11:12	lived	H2425	Chayay	H9000 H775 H2421 H2568 H7970 H8141 H3205 H853 H7974
1:11:14	lived	H2425	Chayay	H9000 H7974 H2421 H7970 H8141 H3205 H853 H5677
1:12:20	men	H582	Anawash	H9000 H6680 H5921 H6547 H376 H7971 H853 H802 H3605 H834 H9005
1:13:13	men	H582	Anawash	H9000 H376 H5467 H7451 H2400 H9005 H3068 H3966
1:14:5	Shaveh	H7741	Shawahaqarayathayam	H9000 H9003 H702 H6240 H8141 H935 H3540 H9009 H4428 H834 H854 H5221 H853 H7497 H6255 H2104 H1990 H368 H7740 H7156
1:14:6	Mount	H2042	Harar	H9000 H853 H9009 H2752 H9003 H2022 H8165 H5704 H364 H834 H5921 H4057
1:14:24	men	H582	Anawash	H1107 H7535 H834 H398 H9009 H5288 H9000 H2506 H376 H1980 H854 H6063 H812 H4471 H1992 H3947
1:14:24	men	H582	Anawash	H1107 H7535 H834 H398 H9009 H5288 H9000 H2506 H376 H1980 H854 H6063 H812 H4471 H1992 H3947
1:15:2	Yahweh	H3068	Yahawah	H9000 H559 H87 H136 H3069 H4100 H5414 H9005 H595 H1980 H6185 H1121 H4943 H1004 H1931 H1834 H461
1:15:5	Yahweh	H3068	Yahawah	H9000 H3318 H853 H9009 H2351 H559 H5027 H4994 H8064 H5608 H3556 H518 H3201 H9005 H3541 H1961 H2233
1:15:8	Yahweh	H3068	Yahawah	H9000 H559 H136 H3069 H9003 H4100 H3045 H3588 H3423
1:17:23	men	H582	Anawash	H9000 H3947 H85 H853 H3458 H1121 H3605 H3211 H1004 H4736 H3701 H2145 H9003 H376 H4135 H1320 H6190 H6106 H9009 H3117 H2088 H9004 H834 H1696 H854 H430
1:17:27	men	H582	Anawash	H9000 H3605 H376 H1004 H3211 H4736 H3701 H9006 H854 H1121 H5236 H4135
1:18:2	men	H582	Anawash	H9000 H5375 H5869 H7200 H2009 H7969 H376 H5324 H5921 H7323 H9005 H7125 H9006 H6607 H9009 H168 H7812 H776
1:18:3	lord	H136	Adanay	H9000 H559 H113 H518 H4994 H4672 H2580 H9003 H5869 H408 H5674 H9006 H5921 H5650
1:18:16	men	H582	Anawash	H9000 H6965 H9006 H8033 H9009 H376 H8259 H5921 H6440 H5467 H85 H1980 H5973 H9005 H7971
1:18:22	men	H582	Anawash	H9000 H6437 H9006 H8033 H9009 H376 H3212 H5467 H85 H5750 H5975 H9005 H6440 H3068
1:19:4	men	H582	Anawash	H2962 H7901 H9000 H376 H9009 H5892 H5467 H5437 H5921 H1004 H9006 H5288 H5704 H2205 H3605 H5971 H7097
1:19:4	men	H582	Anawash	H2962 H7901 H9000 H376 H9009 H5892 H5467 H5437 H5921 H1004 H9006 H5288 H5704 H2205 H3605 H5971 H7097
1:19:5	men	H582	Anawash	H9000 H7121 H413 H3876 H559 H9005 H346 H9009 H376 H834 H935 H3915 H3318 H3045 H853
1:19:8	men	H582	Anawash	H2009 H4994 H9005 H8147 H1323 H834 H3808 H3045 H376 H3318 H853 H413 H9000 H6213 H9004 H2896 H9003 H5869 H7535 H9009 H411 H408 H1697 H3588 H5921 H3651 H935 H6738 H6982
1:19:10	men	H582	Anawash	H9000 H7971 H9009 H376 H853 H3027 H935 H3876 H413 H1004 H1817 H5462
1:19:11	men	H582	Anawash	H9000 H853 H9009 H376 H834 H6607 H1004 H5221 H9003 H5575 H9006 H6996 H5704 H1419 H3811 H9005 H4672
1:19:12	men	H582	Anawash	H9000 H559 H9009 H376 H413 H3876 H5750 H4310 H9005 H6311 H2860 H1121 H1323 H3605 H834 H9003 H5892 H3318 H4480 H4725
1:19:16	men	H582	Anawash	H9000 H4102 H2388 H9009 H376 H9003 H3027 H802 H8147 H1323 H2551 H3068 H5921 H3318 H3240 H9006 H2351 H9005 H5892
1:19:18	lord	H113	Adawan	H9000 H559 H3876 H413 H408 H4994 H136
1:20:8	men	H582	Anawash	H9000 H7925 H40 H9003 H1242 H7121 H9005 H3605 H5650 H1696 H853 H9009 H1697 H428 H241 H3372 H376 H3966
1:24:13	men	H582	Anawash	H2009 H595 H5324 H5921 H5869 H9009 H4325 H9000 H1323 H376 H5892 H3318 H9005 H7579
1:24:32	men	H582	Anawash	H9000 H935 H9009 H376 H1004 H6605 H1581 H5414 H8401 H4554 H9005 H4325 H7364 H7272 H834 H854
1:24:33	set	H7760	Shawam	H9000 H3455 H9005 H6440 H398 H559 H3808 H5704 H518 H1696 H1697
1:24:54	men	H582	Anawash	H9000 H398 H8354 H1931 H9009 H376 H834 H5973 H3885 H6965 H9003 H1242 H559 H7971 H9005 H113
1:24:59	men	H582	Anawash	H9000 H7971 H853 H7259 H269 H3243 H5650 H85 H376
1:26:7	men	H582	Anawash	H9000 H7592 H376 H9009 H4725 H9005 H802 H559 H269 H1931 H3588 H3372 H6435 H2026 H5921 H7259 H2896 H4758
1:26:7	men	H582	Anawash	H9000 H7592 H376 H9009 H4725 H9005 H802 H559 H269 H1931 H3588 H3372 H6435 H2026 H5921 H7259 H2896 H4758
1:27:3	venison	H6718	Tzayad	H9000 H6258 H5375 H4994 H3627 H8522 H7198 H3318 H9009 H7704 H6679 H9005 H6720
1:27:29	lord	H113	Adawan	H5647 H5971 H9000 H7812 H9005 H3816 H1933 H1376 H251 H1121 H517 H779 H1288
1:27:37	lord	H113	Adawan	H9000 H6030 H3327 H559 H9005 H6215 H2005 H1376 H7760 H853 H3605 H251 H5414 H5650 H1715 H8492 H5564 H645 H4100 H6213 H1121
1:27:39	above	H5920	Il	H9000 H6030 H3327 H1 H559 H413 H2009 H9006 H4924 H9009 H776 H1961 H4186 H2919 H8064 H5921
1:29:20	love	H160	Ahabah	H9000 H5647 H3290 H9003 H7354 H7651 H8141 H1961 H5869 H9004 H3117 H259 H157 H853
1:29:22	men	H582	Anawash	H9000 H622 H3837 H853 H3605 H376 H9009 H4725 H6213 H4960
1:31:37	Now	H3290	Yaiqab	H3588 H4959 H853 H3605 H3627 H4100 H4672 H9006 H1004 H7760 H3541 H5048 H251 H9000 H3198 H996 H8147
1:31:37	around	H3837	Laban	H3588 H4959 H853 H3605 H3627 H4100 H4672 H9006 H1004 H7760 H3541 H5048 H251 H9000 H3198 H996 H8147
1:31:37	stuff	H3837	Laban	H3588 H4959 H853 H3605 H3627 H4100 H4672 H9006 H1004 H7760 H3541 H5048 H251 H9000 H3198 H996 H8147
1:32:1	Jacob	H3290	Yaiqab	H9000 H7925 H3837 H9003 H1242 H5401 H9005 H1121 H1323 H1288 H853 H3212 H7725 H4725
1:32:1	went	H1980	Halak	H9000 H7925 H3837 H9003 H1242 H5401 H9005 H1121 H1323 H1288 H853 H3212 H7725 H4725
1:32:1	way	H1870	Darak	H9000 H7925 H3837 H9003 H1242 H5401 H9005 H1121 H1323 H1288 H853 H3212 H7725 H4725
1:32:1	angels	H4397	Malaak	H9000 H7925 H3837 H9003 H1242 H5401 H9005 H1121 H1323 H1288 H853 H3212 H7725 H4725
1:32:1	God	H430	Alahayam	H9000 H7925 H3837 H9003 H1242 H5401 H9005 H1121 H1323 H1288 H853 H3212 H7725 H4725
1:32:1	met	H6293	Pagai	H9000 H7925 H3837 H9003 H1242 H5401 H9005 H1121 H1323 H1288 H853 H3212 H7725 H4725
1:32:2	saw	H7200	Raah	H9000 H3290 H1980 H9005 H1870 H6293 H9003 H4397 H430
1:32:2	said	H559	Amar	H9000 H3290 H1980 H9005 H1870 H6293 H9003 H4397 H430
1:32:2	army	H4264	Machanah	H9000 H3290 H1980 H9005 H1870 H6293 H9003 H4397 H430
1:32:2	called	H7121	Qaraa	H9000 H3290 H1980 H9005 H1870 H6293 H9003 H4397 H430
1:32:2	name	H8034	Sham	H9000 H3290 H1980 H9005 H1870 H6293 H9003 H4397 H430
1:32:2	place	H4725	Maqawam	H9000 H3290 H1980 H9005 H1870 H6293 H9003 H4397 H430
1:32:2	Mahanaim	H4266	Machanayam	H9000 H3290 H1980 H9005 H1870 H6293 H9003 H4397 H430
1:32:3	sent	H7971	Shalach	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	messengers	H4397	Malaak	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	front	H6440	Panayam	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	Esau	H6215	Ishaw	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	brother	H251	Ach	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	land	H7704	Shadah	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	Seir	H8165	Shaiyar	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	field	H7704	Shadah	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:3	Edom	H123	Adam	H9000 H559 H3290 H9004 H834 H7200 H4264 H430 H2088 H7121 H8034 H9009 H4725 H1931 H4266
1:32:4	commanded	H6680	Tzawah	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:4	saying	H559	Amar	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:4	tell	H559	Amar	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:4	lord	H113	Adawan	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:4	servant	H5650	Ibad	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:4	says	H559	Amar	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:4	Laban	H3837	Laban	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:4	stayed	H309	Achar	H9000 H7971 H3290 H4397 H9005 H6440 H413 H6215 H251 H776 H8165 H7704 H123
1:32:5	flocks	H6629	Tzaan	H9000 H6680 H853 H9005 H559 H3541 H113 H6215 H5650 H3290 H5973 H3837 H1481 H309 H5704 H6258
1:32:5	servants	H8198	Shapachah	H9000 H6680 H853 H9005 H559 H3541 H113 H6215 H5650 H3290 H5973 H3837 H1481 H309 H5704 H6258
1:32:5	sent	H7971	Shalach	H9000 H6680 H853 H9005 H559 H3541 H113 H6215 H5650 H3290 H5973 H3837 H1481 H309 H5704 H6258
1:32:5	tell	H5046	Nagad	H9000 H6680 H853 H9005 H559 H3541 H113 H6215 H5650 H3290 H5973 H3837 H1481 H309 H5704 H6258
1:32:5	find	H4672	Matzaa	H9000 H6680 H853 H9005 H559 H3541 H113 H6215 H5650 H3290 H5973 H3837 H1481 H309 H5704 H6258
1:32:5	sight	H5869	Iyan	H9000 H6680 H853 H9005 H559 H3541 H113 H6215 H5650 H3290 H5973 H3837 H1481 H309 H5704 H6258
1:32:6	messengers	H4397	Malaak	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	returned	H7725	Shawab	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	Jacob	H3290	Yaiqab	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	saying	H559	Amar	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	came	H935	Bawaa	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	brother	H251	Ach	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	Esau	H6215	Ishaw	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	comes	H1980	Halak	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	meet	H7125	Qaraah	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	hundred	H3967	Maah	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:6	men	H376	Ayash	H9000 H1961 H9005 H7794 H2543 H6629 H5650 H8198 H7971 H5046 H113 H4672 H2580 H9003 H5869
1:32:7	greatly	H3966	Maad	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	afraid	H3372	Yaraa	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	distressed	H3334	Yatzar	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	divided	H2673	Chatzah	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	people	H5971	Im	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	flocks	H6629	Tzaan	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	herds	H1241	Baqar	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	camels	H1581	Gamal	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	two	H8147	Shanayam	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:7	companies	H4264	Machanah	H9000 H7725 H9009 H4397 H413 H3290 H9005 H559 H935 H251 H6215 H1571 H1980 H7125 H702 H3967 H376 H5973
1:32:8	said	H559	Amar	H9000 H3372 H3290 H3966 H3334 H9005 H2673 H853 H9009 H5971 H834 H854 H6629 H1241 H1581 H8147 H4264
1:32:8	Esau	H6215	Ishaw	H9000 H3372 H3290 H3966 H3334 H9005 H2673 H853 H9009 H5971 H834 H854 H6629 H1241 H1581 H8147 H4264
1:32:8	comes	H935	Bawaa	H9000 H3372 H3290 H3966 H3334 H9005 H2673 H853 H9009 H5971 H834 H854 H6629 H1241 H1581 H8147 H4264
1:32:8	one	H259	Achad	H9000 H3372 H3290 H3966 H3334 H9005 H2673 H853 H9009 H5971 H834 H854 H6629 H1241 H1581 H8147 H4264
1:32:8	strikes	H5221	Nakah	H9000 H3372 H3290 H3966 H3334 H9005 H2673 H853 H9009 H5971 H834 H854 H6629 H1241 H1581 H8147 H4264
1:32:8	left	H7604	Shaar	H9000 H3372 H3290 H3966 H3334 H9005 H2673 H853 H9009 H5971 H834 H854 H6629 H1241 H1581 H8147 H4264
1:32:8	escape	H6413	Palayatah	H9000 H3372 H3290 H3966 H3334 H9005 H2673 H853 H9009 H5971 H834 H854 H6629 H1241 H1581 H8147 H4264
1:32:9	Jacob	H3290	Yaiqab	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	God	H430	Alahayam	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	father	H1	Ab	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	Abraham	H85	Abaraham	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	God	H430	Alahayam	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	father	H1	Ab	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	Isaac	H3327	Yatzachaq	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	Yahweh	H3068	Yahawah	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	Return	H7725	Shawab	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	country	H776	Aratz	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:9	good	H3190	Yatab	H9000 H559 H518 H935 H6215 H413 H9009 H4264 H259 H5221 H1961 H7604 H9005 H6413
1:32:10	worthy	H6994	Qatan	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	loving	H2617	Chasad	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	truth	H571	Amath	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	have	H6213	Ishah	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	servant	H5650	Ibad	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	staff	H4731	Maqal	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	passed	H5674	Ibar	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	Jordan	H3383	Yaradan	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	two	H8147	Shanayam	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:10	companies	H4264	Machanah	H9000 H559 H3290 H430 H1 H85 H3327 H3068 H9009 H413 H7725 H9005 H776 H4138 H3190 H5973
1:32:11	deliver	H5337	Natzal	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	hand	H3027	Yad	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	brother	H251	Ach	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	hand	H3027	Yad	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	Esau	H6215	Ishaw	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	fear	H3373	Yaraa	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	come	H935	Bawaa	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	strike	H5221	Nakah	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	mothers	H517	Am	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:11	children	H1121	Ban	H6994 H9006 H3605 H9009 H2617 H9000 H571 H834 H6213 H854 H5650 H3588 H9003 H4731 H5674 H853 H3383 H2088 H6258 H1961 H9005 H8147 H4264
1:32:12	said	H559	Amar	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:12	surely	H3190	Yatab	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:12	good	H3190	Yatab	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:12	make	H7760	Shawam	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:12	seed	H2233	Zarai	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:12	sand	H2344	Chawal	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:12	sea	H3220	Yam	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:12	numbered	H5608	Sapar	H5337 H4994 H9006 H3027 H251 H6215 H3588 H3373 H595 H853 H6435 H935 H9000 H5221 H517 H5921 H1121
1:32:13	lodged	H3885	Lawan	H9000 H859 H559 H3190 H5973 H7760 H853 H2233 H9004 H2344 H9009 H3220 H834 H3808 H5608 H9006 H7230
1:32:13	night	H3915	Layal	H9000 H859 H559 H3190 H5973 H7760 H853 H2233 H9004 H2344 H9009 H3220 H834 H3808 H5608 H9006 H7230
1:32:13	took	H3947	Laqach	H9000 H859 H559 H3190 H5973 H7760 H853 H2233 H9004 H2344 H9009 H3220 H834 H3808 H5608 H9006 H7230
1:32:13	had	H935	Bawaa	H9000 H859 H559 H3190 H5973 H7760 H853 H2233 H9004 H2344 H9009 H3220 H834 H3808 H5608 H9006 H7230
1:32:13	present	H4503	Manachah	H9000 H859 H559 H3190 H5973 H7760 H853 H2233 H9004 H2344 H9009 H3220 H834 H3808 H5608 H9006 H7230
1:32:13	Esau	H6215	Ishaw	H9000 H859 H559 H3190 H5973 H7760 H853 H2233 H9004 H2344 H9009 H3220 H834 H3808 H5608 H9006 H7230
1:32:13	brother	H251	Ach	H9000 H859 H559 H3190 H5973 H7760 H853 H2233 H9004 H2344 H9009 H3220 H834 H3808 H5608 H9006 H7230
1:32:14	hundred	H3967	Maah	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:14	goats	H5795	Iz	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:14	twenty	H6242	Isharayam	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:14	goats	H8495	Thayash	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:14	hundred	H3967	Maah	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:14	ewes	H7353	Rachal	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:14	twenty	H6242	Isharayam	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:14	rams	H352	Ayal	H9000 H3885 H8033 H9003 H3915 H9009 H1931 H3947 H4480 H935 H3027 H4503 H9005 H6215 H251
1:32:15	thirty	H7970	Shalawashayam	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	camels	H1581	Gamal	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	colts	H1121	Ban	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	forty	H705	Arabaiyam	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	cows	H6510	Parah	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	ten	H6235	Ishar	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	bulls	H6499	Par	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	ten	H6235	Ishar	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:15	foals	H5895	Iyar	H5795 H3967 H9000 H8495 H6242 H7353 H352
1:32:16	delivered	H5414	Nathan	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	hands	H3027	Yad	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	servants	H5650	Ibad	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	herd	H5739	Idar	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	said	H559	Amar	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	servants	H5650	Ibad	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	Pass	H5674	Ibar	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	before	H6440	Panayam	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	put	H7760	Shawam	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	space	H7305	Rawach	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	between	H996	Bayan	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
1:32:16	herd	H5739	Idar	H1581 H3243 H9000 H1121 H7970 H6510 H705 H6499 H6235 H860 H6242 H5895
