SN-vs-root consistency audit
========================================================================
Database:      /home/claude/paleo-studio/surface-index.db
Strongs-roots: server/lexicon/strongs-roots.json

Totals
------
Rows scanned:                              23,737
Rows where tagged SN's root letters are
  NOT all present in the surface form:     5,753
Of those, with a plausible alternative:    5,701
  - found in all_strongs (co-attested):    445
  - found via broad search only:           5,256

HIGH confidence (413)
------------------------------------------------------------------------
Exactly one alternative SN co-attested for this surface in the corpus.
Safest candidates for the override file.

  word_raw        tagged    tagged_root       suggested  suggested_root  pos
  𐤄𐤇𐤋𐤌        H2490     𐤇𐤋𐤋          H2455     𐤇𐤋            verb
  𐤄𐤇𐤋𐤕𐤉      H2490     𐤇𐤋𐤋          H2455     𐤇𐤋            verb
  𐤄𐤇𐤓𐤉𐤔      H834      𐤇𐤓𐤉𐤔        H2758     𐤇𐤓𐤉𐤔        verb
  𐤄𐤈𐤁𐤍𐤅      H3190     𐤉𐤈𐤁          H2869     𐤈𐤁            verb
  𐤄𐤈𐤁𐤕𐤉      H2895     𐤈𐤅𐤁          H2869     𐤈𐤁            verb
  𐤄𐤈𐤐          H5197     𐤍𐤈𐤐          H2945     𐤈𐤐            verb
  𐤄𐤉𐤅          H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤅𐤕        H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤅𐤕𐤅      H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤅𐤕𐤉      H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤅𐤕𐤊      H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤅𐤕𐤊𐤌    H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤅𐤕𐤌      H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤅𐤕𐤍𐤅    H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤉          H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤉𐤌𐤍𐤉      H5975     𐤉𐤌𐤍𐤉        H3231     𐤉𐤌𐤍          verb
  𐤄𐤉𐤕𐤉        H1962     𐤄𐤉𐤄          H1958     𐤄𐤉            subs
  𐤄𐤉𐤕𐤌        H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤄𐤊𐤇𐤕        H3198     𐤉𐤊𐤇          H3581     𐤊𐤇            verb
  𐤄𐤊𐤉𐤓        H5234     𐤍𐤊𐤓          H3600     𐤊𐤉𐤓          verb
  𐤄𐤊𐤉𐤓𐤄𐤅    H5234     𐤍𐤊𐤓          H3600     𐤊𐤉𐤓          verb
  𐤄𐤊𐤉𐤓𐤅      H5234     𐤍𐤊𐤓          H3600     𐤊𐤉𐤓          verb
  𐤄𐤋𐤃𐤕        H3205     𐤉𐤋𐤃          H3850     𐤋𐤃            verb
  𐤄𐤋𐤉𐤊𐤅𐤕    H1979     𐤄𐤋𐤉𐤊𐤄      H1978     𐤄𐤋𐤉𐤊        subs
  𐤄𐤋𐤉𐤊𐤅𐤕𐤉𐤊  H7891     𐤄𐤋𐤉𐤊        H1978     𐤄𐤋𐤉𐤊        subs
  𐤄𐤌𐤍𐤄        H1995     𐤄𐤌𐤅𐤍        H2001     𐤄𐤌𐤍          subs
  𐤄𐤌𐤍𐤊𐤌      H1995     𐤄𐤌𐤅𐤍        H2001     𐤄𐤌𐤍          subs
  𐤄𐤌𐤎          H4549     𐤌𐤎𐤎          H2003     𐤄𐤌𐤎          verb
  𐤄𐤌𐤎𐤉𐤌      H3381     𐤉𐤓𐤃          H2003     𐤄𐤌𐤎          subs
  𐤄𐤌𐤒          H4743     𐤌𐤒𐤒          H4716     𐤌𐤒            verb
  𐤄𐤌𐤕          H4191     𐤌𐤅𐤕          H4962     𐤌𐤕            verb
  𐤄𐤌𐤕𐤌        H4191     𐤌𐤅𐤕          H4962     𐤌𐤕            verb
  𐤄𐤌𐤕𐤍𐤉      H4191     𐤌𐤅𐤕          H4962     𐤌𐤕            verb
  𐤄𐤍𐤇          H3240     𐤉𐤍𐤇          H5146     𐤍𐤇            verb
  𐤄𐤍𐤇𐤅        H3240     𐤉𐤍𐤇          H5146     𐤍𐤇            verb
  𐤄𐤍𐤇𐤕𐤅      H3240     𐤉𐤍𐤇          H5146     𐤍𐤇            verb
  𐤄𐤍𐤇𐤕𐤌      H3240     𐤉𐤍𐤇          H5146     𐤍𐤇            verb
  𐤄𐤍𐤉𐤃        H5110     𐤍𐤅𐤃          H5205     𐤍𐤉𐤃          verb
  𐤄𐤍𐤉𐤎        H5127     𐤍𐤅𐤎          H5211     𐤍𐤉𐤎          verb
  𐤄𐤍𐤐𐤕        H5130     𐤍𐤅𐤐          H5297     𐤍𐤐            verb
  𐤄𐤎𐤉𐤓        H5493     𐤎𐤅𐤓          H5518     𐤎𐤉𐤓          verb
  𐤄𐤎𐤉𐤓𐤄      H5493     𐤎𐤅𐤓          H5518     𐤎𐤉𐤓          verb
  𐤄𐤎𐤉𐤓𐤉      H5493     𐤎𐤉𐤓𐤉        H5518     𐤎𐤉𐤓          verb
  𐤄𐤎𐤉𐤓𐤊      H5493     𐤎𐤅𐤓          H5518     𐤎𐤉𐤓          verb
  𐤄𐤎𐤉𐤓𐤊𐤌    H5493     𐤎𐤅𐤓          H5518     𐤎𐤉𐤓          verb
  𐤄𐤎𐤉𐤓𐤕      H5493     𐤎𐤅𐤓          H5518     𐤎𐤉𐤓          verb
  𐤄𐤎𐤓          H5493     𐤎𐤅𐤓          H5620     𐤎𐤓            verb
  𐤄𐤎𐤓𐤕𐤉      H5493     𐤎𐤅𐤓          H5620     𐤎𐤓            verb
  𐤄𐤏𐤃𐤉𐤅      H5709     𐤏𐤃𐤀          H5716     𐤏𐤃𐤉          verb
  𐤄𐤐𐤇          H6351     𐤐𐤇𐤇          H6341     𐤐𐤇            verb
  𐤄𐤐𐤇𐤕𐤉      H5301     𐤍𐤐𐤇          H6341     𐤐𐤇            verb
  𐤄𐤐𐤇𐤕𐤌      H5301     𐤍𐤐𐤇          H6341     𐤐𐤇            verb
  𐤄𐤐𐤉𐤇𐤉      H6315     𐤐𐤉𐤇𐤉        H6368     𐤐𐤉𐤇          verb
  𐤄𐤐𐤓          H6565     𐤐𐤓𐤓          H6499     𐤐𐤓            verb
  𐤄𐤐𐤓𐤄        H6565     𐤐𐤓𐤓          H6499     𐤐𐤓            verb
  𐤄𐤐𐤓𐤅        H6565     𐤐𐤓𐤓          H6499     𐤐𐤓            verb
  𐤄𐤐𐤓𐤊𐤌      H6565     𐤐𐤓𐤓          H6499     𐤐𐤓            verb
  𐤄𐤑𐤁          H5210     𐤍𐤉𐤍𐤅𐤄      H6632     𐤑𐤁            verb
  𐤄𐤑𐤁𐤕        H5324     𐤍𐤑𐤁          H6632     𐤑𐤁            verb
  𐤄𐤑𐤋          H5337     𐤍𐤑𐤋          H6738     𐤑𐤋            verb
  𐤄𐤑𐤋𐤊        H5337     𐤍𐤑𐤋          H6738     𐤑𐤋            verb
  𐤄𐤑𐤋𐤕        H5337     𐤍𐤑𐤋          H6738     𐤑𐤋            verb
  𐤄𐤑𐤋𐤕𐤉      H5337     𐤍𐤑𐤋          H6738     𐤑𐤋            verb
  𐤄𐤑𐤋𐤕𐤉𐤊    H5337     𐤍𐤑𐤋          H6738     𐤑𐤋            verb
  𐤄𐤑𐤋𐤕𐤉𐤌    H5337     𐤍𐤑𐤋          H6738     𐤑𐤋            verb
  𐤄𐤑𐤋𐤕𐤌      H5337     𐤍𐤑𐤋          H6738     𐤑𐤋            verb
  𐤄𐤒𐤃𐤉𐤌𐤍𐤉  H7235     𐤒𐤃𐤉𐤌        H6921     𐤒𐤃𐤉𐤌        verb
  𐤄𐤒𐤉𐤑        H6974     𐤒𐤅𐤑          H7019     𐤒𐤉𐤑          verb
  𐤄𐤒𐤉𐤑𐤄      H6974     𐤒𐤅𐤑          H7019     𐤒𐤉𐤑          verb
  𐤄𐤒𐤉𐤑𐤕𐤉    H6974     𐤒𐤅𐤑          H7019     𐤒𐤉𐤑          verb
  𐤄𐤓𐤀𐤋        H741      𐤀𐤓𐤀𐤉𐤋      H2025     𐤄𐤓𐤀𐤋        subs
  𐤄𐤓𐤉𐤔        H3068     𐤉𐤄𐤅𐤄        H7389     𐤓𐤉𐤔          verb
  𐤄𐤓𐤌          H7311     𐤓𐤅𐤌          H7410     𐤓𐤌            verb
  𐤄𐤓𐤌𐤕        H7311     𐤓𐤅𐤌          H7410     𐤓𐤌            verb
  𐤄𐤓𐤌𐤕𐤌      H7311     𐤓𐤅𐤌          H7410     𐤓𐤌            verb
  𐤄𐤓𐤍𐤊        H2032     𐤄𐤓𐤅𐤍        H2039     𐤄𐤓𐤍          subs
  𐤄𐤓𐤏𐤅𐤕      H7489     𐤓𐤏𐤏          H7466     𐤓𐤏𐤅          verb
  𐤄𐤓𐤏𐤅𐤕𐤉    H7489     𐤓𐤏𐤏          H7466     𐤓𐤏𐤅          verb
  𐤄𐤓𐤑          H7323     𐤓𐤅𐤑          H7518     𐤓𐤑            verb
  𐤄𐤔𐤉𐤂        H5381     𐤍𐤔𐤂          H7873     𐤔𐤉𐤂          verb
  𐤄𐤔𐤉𐤂𐤄      H5381     𐤍𐤔𐤂          H7873     𐤔𐤉𐤂          verb
  𐤄𐤔𐤉𐤂𐤅      H5381     𐤍𐤔𐤂          H7873     𐤔𐤉𐤂          verb
  𐤄𐤔𐤉𐤂𐤅𐤄    H5381     𐤍𐤔𐤂          H7873     𐤔𐤉𐤂          verb
  𐤄𐤔𐤉𐤂𐤅𐤊    H5381     𐤍𐤔𐤂          H7873     𐤔𐤉𐤂          verb
  𐤄𐤔𐤉𐤂𐤅𐤍𐤉  H2363     𐤇𐤅𐤔          H7873     𐤔𐤉𐤂          verb
  𐤄𐤔𐤉𐤂𐤊      H5381     𐤍𐤔𐤂          H7873     𐤔𐤉𐤂          verb
  𐤄𐤕𐤊𐤕𐤉      H5413     𐤍𐤕𐤊          H8496     𐤕𐤊            verb
  𐤄𐤕𐤍𐤁𐤅𐤕    H5012     𐤍𐤁𐤀          H5011     𐤍𐤁            verb
  𐤄𐤕𐤏𐤈𐤐      H1892     𐤄𐤁𐤋          H5848     𐤏𐤈𐤐          verb
  𐤄𐤕𐤏𐤓𐤓𐤕𐤉  H5782     𐤏𐤅𐤓          H6209     𐤏𐤓𐤓          verb
  𐤆𐤃𐤄          H2102     𐤆𐤅𐤃          H2086     𐤆𐤃            verb
  𐤆𐤅𐤋𐤕        H2108     𐤆𐤅𐤋𐤄        H2107     𐤆𐤅𐤋          subs
  𐤆𐤅𐤋𐤕𐤉      H2108     𐤆𐤅𐤋𐤄        H2107     𐤆𐤅𐤋          subs
  𐤆𐤅𐤋𐤕𐤊      H2108     𐤆𐤅𐤋𐤄        H2107     𐤆𐤅𐤋          subs
  𐤆𐤉𐤐𐤉𐤌      H238      𐤀𐤆𐤍          H2128     𐤆𐤉𐤐          adjv
  𐤆𐤊𐤅          H2141     𐤆𐤊𐤊          H2134     𐤆𐤊            verb
  𐤆𐤊𐤉𐤕𐤉      H2135     𐤆𐤊𐤄          H2140     𐤆𐤊𐤉          verb
  𐤆𐤍𐤇𐤕𐤍𐤅    H4480     𐤆𐤍𐤇          H2186     𐤆𐤍𐤇          verb
  𐤆𐤓𐤅𐤕𐤌      H2219     𐤆𐤓𐤄          H2213     𐤆𐤓            verb
  𐤆𐤓𐤉𐤊        H2114     𐤆𐤓𐤉𐤊        H2213     𐤆𐤓            adjv
  𐤆𐤓𐤉𐤌        H2114     𐤆𐤅𐤓          H2213     𐤆𐤓            adjv
  𐤆𐤓𐤕𐤉𐤌      H2219     𐤆𐤓𐤄          H2213     𐤆𐤓            verb
  𐤇𐤁𐤄          H3160     𐤉𐤇𐤁𐤄        H2247     𐤇𐤁𐤄          nmpr
  𐤇𐤂𐤄          H3117     𐤉𐤅𐤌          H2282     𐤇𐤂            subs
  𐤇𐤂𐤉𐤄        H1980     𐤇𐤂𐤉𐤄        H2293     𐤇𐤂𐤉𐤄        nmpr
  𐤇𐤂𐤉𐤊        H553      𐤇𐤂𐤉𐤊        H2282     𐤇𐤂            subs
  𐤇𐤂𐤕𐤌        H2287     𐤇𐤂𐤂          H2282     𐤇𐤂            verb
  𐤇𐤃𐤅𐤃𐤉      H6677     𐤑𐤅𐤀𐤓        H2303     𐤇𐤃𐤅𐤃        subs
  𐤇𐤅𐤌𐤅𐤕      H2346     𐤇𐤅𐤌𐤄        H2345     𐤇𐤅𐤌          subs
  𐤇𐤅𐤌𐤅𐤕𐤉𐤊  H2346     𐤇𐤅𐤌𐤅𐤕𐤉𐤊  H2345     𐤇𐤅𐤌          subs
  𐤇𐤅𐤌𐤕        H2346     𐤇𐤅𐤌𐤄        H2345     𐤇𐤅𐤌          subs
  𐤇𐤅𐤎𐤉        H2620     𐤇𐤎𐤄          H2347     𐤇𐤅𐤎          verb
  𐤇𐤅𐤎𐤉𐤌      H2620     𐤇𐤎𐤄          H2347     𐤇𐤅𐤎          verb
  𐤇𐤈𐤁𐤅𐤕      H2405     𐤇𐤈𐤁𐤄        H2404     𐤇𐤈𐤁          verb
  𐤇𐤈𐤁𐤉𐤌      H6086     𐤇𐤈𐤁          H2404     𐤇𐤈𐤁          verb
  𐤇𐤈𐤉𐤀        H2402     𐤇𐤈𐤀𐤄        H2409     𐤇𐤈𐤉𐤀        subs
  𐤇𐤉𐤉𐤕        H2421     𐤇𐤉𐤄          H2425     𐤇𐤉𐤉          verb
  𐤇𐤉𐤉𐤕𐤌      H2421     𐤇𐤉𐤄          H2425     𐤇𐤉𐤉          verb
  𐤇𐤉𐤉𐤕𐤍𐤉    H2421     𐤇𐤉𐤄          H2425     𐤇𐤉𐤉          verb
  𐤇𐤉𐤍          H5769     𐤏𐤅𐤋𐤌        H2433     𐤇𐤉𐤍          subs
  𐤇𐤋𐤀𐤉𐤌      H5473     𐤎𐤅𐤂          H2456     𐤇𐤋𐤀          subs
  𐤇𐤋𐤅𐤕        H2471     𐤇𐤋𐤄          H2455     𐤇𐤋            subs
  𐤇𐤋𐤅𐤕𐤉      H3050     𐤉𐤄            H2455     𐤇𐤋            verb
  𐤇𐤋𐤅𐤕𐤌      H2470     𐤇𐤋𐤄          H2455     𐤇𐤋            verb
  𐤇𐤋𐤕          H2471     𐤇𐤋𐤄          H2455     𐤇𐤋            subs
  𐤇𐤋𐤕𐤉        H2342     𐤇𐤅𐤋          H2455     𐤇𐤋            verb
  𐤇𐤌𐤀𐤕        H2529     𐤇𐤌𐤀𐤄        H2528     𐤇𐤌𐤀          subs
  𐤇𐤌𐤅𐤒𐤉      H990      𐤇𐤌𐤅𐤒        H2542     𐤇𐤌𐤅𐤒        subs
  𐤇𐤌𐤋𐤕𐤅      H2551     𐤇𐤌𐤋𐤄        H2550     𐤇𐤌𐤋          subs
  𐤇𐤌𐤕𐤉𐤊      H2346     𐤇𐤌𐤕𐤉𐤊      H2577     𐤇𐤌𐤕𐤉        subs
  𐤇𐤍𐤊          H2585     𐤇𐤍𐤅𐤊        H2596     𐤇𐤍𐤊          nmpr
  𐤇𐤍𐤊𐤕        H2598     𐤇𐤍𐤊𐤄        H2596     𐤇𐤍𐤊          subs
  𐤇𐤎𐤉𐤍        H3220     𐤇𐤎𐤉𐤍        H2626     𐤇𐤎𐤉𐤍        subs
  𐤇𐤐𐤅          H2645     𐤇𐤐𐤄          H2643     𐤇𐤐            verb
  𐤇𐤐𐤕𐤅        H8622     𐤕𐤒𐤅𐤐𐤄      H2643     𐤇𐤐            subs
  𐤇𐤒𐤅𐤕        H2708     𐤇𐤒𐤄          H2706     𐤇𐤒            subs
  𐤇𐤒𐤕          H2708     𐤇𐤒𐤄          H2706     𐤇𐤒            subs
  𐤇𐤓            H2356     𐤇𐤅𐤓          H2715     𐤇𐤓            subs
  𐤇𐤓𐤅          H2787     𐤇𐤓𐤓          H2715     𐤇𐤓            verb
  𐤇𐤓𐤉𐤄𐤍      H2356     𐤇𐤅𐤓          H2715     𐤇𐤓            subs
  𐤇𐤓𐤉𐤅        H3715     𐤊𐤐𐤉𐤓        H2715     𐤇𐤓            subs
  𐤇𐤓𐤌𐤅𐤍𐤉𐤌  H5921     𐤇𐤓𐤌𐤅𐤍      H2768     𐤇𐤓𐤌𐤅𐤍      subs
  𐤇𐤓𐤍𐤊        H2740     𐤇𐤓𐤅𐤍        H2771     𐤇𐤓𐤍          subs
  𐤇𐤔𐤁𐤍𐤄      H281      𐤇𐤔𐤁𐤍𐤄      H2812     𐤇𐤔𐤁𐤍𐤄      nmpr
  𐤇𐤔𐤓𐤕        H2841     𐤇𐤔𐤓𐤄        H2840     𐤇𐤔𐤓          subs
  𐤇𐤕𐤋𐤕𐤅      H2854     𐤇𐤕𐤋𐤄        H2853     𐤇𐤕𐤋          subs
  𐤈𐤀𐤁          H858      𐤀𐤕𐤄          H2868     𐤈𐤀𐤁          verb
  𐤈𐤁𐤄          H2896     𐤈𐤅𐤁          H2869     𐤈𐤁            adjv
  𐤈𐤁𐤉𐤌        H2896     𐤈𐤅𐤁          H2869     𐤈𐤁            adjv
  𐤈𐤁𐤏𐤕𐤉      H3021     𐤉𐤂𐤏          H2883     𐤈𐤁𐤏          verb
  𐤈𐤁𐤕𐤌        H251      𐤈𐤁            H2869     𐤈𐤁            subs
  𐤈𐤅𐤕          H5053     𐤍𐤂𐤄          H2908     𐤈𐤅𐤕          advb
  𐤉𐤀𐤁          H3097     𐤉𐤅𐤀𐤁        H2968     𐤉𐤀𐤁          nmpr
  𐤉𐤀𐤔          H3101     𐤉𐤅𐤀𐤔        H2976     𐤉𐤀𐤔          nmpr
  𐤉𐤀𐤕𐤉𐤅      H857      𐤀𐤕𐤄          H863      𐤀𐤕𐤉          verb
  𐤉𐤀𐤕𐤉𐤅𐤍    H857      𐤀𐤕𐤄          H863      𐤀𐤕𐤉          verb
  𐤉𐤀𐤕𐤉𐤍𐤉    H857      𐤀𐤕𐤄          H863      𐤀𐤕𐤉          verb
  𐤉𐤀𐤕𐤓𐤉      H2228     𐤆𐤓𐤇𐤉𐤄      H2979     𐤉𐤀𐤕𐤓𐤉      nmpr
  𐤉𐤁𐤆          H959      𐤁𐤆𐤄          H957      𐤁𐤆            verb
  𐤉𐤁𐤆𐤅        H962      𐤁𐤆𐤆          H957      𐤁𐤆            verb
  𐤉𐤁𐤆𐤅𐤌      H962      𐤁𐤆𐤆          H957      𐤁𐤆            verb
  𐤉𐤁𐤊𐤉𐤅𐤍    H1058     𐤁𐤊𐤄          H1065     𐤁𐤊𐤉          verb
  𐤉𐤂𐤅𐤃𐤅      H1413     𐤂𐤃𐤃          H1464     𐤂𐤅𐤃          verb
  𐤉𐤂𐤆          H1468     𐤂𐤅𐤆          H1488     𐤂𐤆            verb
  𐤉𐤂𐤉𐤃        H5046     𐤍𐤂𐤃          H1517     𐤂𐤉𐤃          verb
  𐤉𐤂𐤉𐤃𐤄      H5046     𐤍𐤂𐤃          H1517     𐤂𐤉𐤃          verb
  𐤉𐤂𐤉𐤃𐤅      H5046     𐤍𐤂𐤃          H1517     𐤂𐤉𐤃          verb
  𐤉𐤂𐤍          H1598     𐤂𐤍𐤍          H1588     𐤂𐤍            verb
  𐤉𐤃𐤂𐤅        H1711     𐤃𐤂𐤄          H1709     𐤃𐤂            verb
  𐤉𐤃𐤃          H5074     𐤍𐤃𐤃          H1717     𐤃𐤃            verb
  𐤉𐤃𐤃𐤅𐤍      H8240     𐤔𐤐𐤕          H1717     𐤃𐤃            verb
  𐤉𐤃𐤋          H1809     𐤃𐤋𐤋          H1800     𐤃𐤋            verb
  𐤉𐤃𐤌𐤅        H1826     𐤃𐤌𐤌          H1818     𐤃𐤌            verb
  𐤉𐤄𐤅𐤎𐤐      H5447     𐤉𐤄𐤅𐤎𐤐      H3084     𐤉𐤄𐤅𐤎𐤐      nmpr
  𐤉𐤄𐤉          H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤉𐤄𐤉𐤅        H1961     𐤄𐤉𐤄          H1958     𐤄𐤉            verb
  𐤉𐤅𐤍𐤒𐤅𐤕𐤉𐤄  H1870     𐤉𐤅𐤍𐤒        H3126     𐤉𐤅𐤍𐤒        subs
  𐤉𐤅𐤏𐤀𐤋𐤄    H4480     𐤉𐤅𐤏𐤀𐤋𐤄    H3132     𐤉𐤅𐤏𐤀𐤋𐤄    nmpr
  𐤉𐤅𐤏𐤆𐤓      H4480     𐤉𐤅𐤏𐤆𐤓      H3134     𐤉𐤅𐤏𐤆𐤓      nmpr
  𐤉𐤆𐤃          H2102     𐤆𐤅𐤃          H2086     𐤆𐤃            verb
  𐤉𐤆𐤓          H2115     𐤆𐤅𐤓          H2213     𐤆𐤓            verb
  𐤉𐤆𐤓𐤅        H2219     𐤆𐤓𐤄          H2213     𐤆𐤓            verb
  𐤉𐤆𐤓𐤏𐤀𐤋𐤕  H3159     𐤉𐤆𐤓𐤏𐤀𐤋𐤉𐤕  H3157     𐤉𐤆𐤓𐤏𐤀𐤋    adjv
  𐤉𐤇𐤂𐤅        H2287     𐤇𐤂𐤂          H2282     𐤇𐤂            verb
  𐤉𐤇𐤉𐤃𐤉𐤌    H3318     𐤉𐤇𐤉𐤃        H3173     𐤉𐤇𐤉𐤃        adjv
  𐤉𐤇𐤌𐤋𐤅      H55       𐤀𐤁𐤊          H2550     𐤇𐤌𐤋          verb
  𐤉𐤇𐤑          H2673     𐤇𐤑𐤄          H2671     𐤇𐤑            verb
  𐤉𐤇𐤑𐤅        H2673     𐤇𐤑𐤄          H2671     𐤇𐤑            verb
  𐤉𐤇𐤑𐤅𐤍      H2673     𐤇𐤑𐤄          H2671     𐤇𐤑            verb
  𐤉𐤇𐤑𐤌        H2673     𐤇𐤑𐤄          H2671     𐤇𐤑            verb
  𐤉𐤇𐤒𐤅        H2710     𐤇𐤒𐤒          H2706     𐤇𐤒            verb
  𐤉𐤇𐤓          H2734     𐤇𐤓𐤄          H2715     𐤇𐤓            verb
  𐤉𐤇𐤓𐤂𐤅      H6697     𐤑𐤅𐤓          H2727     𐤇𐤓𐤂          verb
  𐤉𐤇𐤓𐤅        H2787     𐤇𐤓𐤓          H2715     𐤇𐤓            verb
  𐤉𐤈𐤅𐤋        H5190     𐤍𐤈𐤋          H2904     𐤈𐤅𐤋          verb
  𐤉𐤈𐤐𐤅        H5197     𐤍𐤈𐤐          H2945     𐤈𐤐            verb
  𐤉𐤉𐤇𐤓        H309      𐤀𐤇𐤓          H3186     𐤉𐤇𐤓          verb
  𐤉𐤊𐤉𐤓        H5234     𐤍𐤊𐤓          H3600     𐤊𐤉𐤓          verb
  𐤉𐤊𐤉𐤓𐤄      H5234     𐤍𐤊𐤓          H3600     𐤊𐤉𐤓          verb
  𐤉𐤊𐤉𐤓𐤅𐤌    H5234     𐤍𐤊𐤓          H3600     𐤊𐤉𐤓          verb
  𐤉𐤊𐤊𐤄        H5221     𐤍𐤊𐤄          H3602     𐤊𐤊𐤄          verb
  𐤉𐤊𐤋𐤉𐤅𐤍    H3615     𐤊𐤋𐤄          H3627     𐤊𐤋𐤉          verb
  𐤉𐤊𐤋𐤊𐤋      H3557     𐤊𐤋𐤊𐤋        H3633     𐤊𐤋𐤊𐤋        verb
  𐤉𐤊𐤋𐤊𐤋𐤊    H7845     𐤊𐤋𐤊𐤋        H3633     𐤊𐤋𐤊𐤋        verb
  𐤉𐤊𐤋𐤊𐤋𐤌    H3557     𐤊𐤋𐤊𐤋        H3633     𐤊𐤋𐤊𐤋        verb
  𐤉𐤊𐤍𐤍𐤊      H3559     𐤊𐤅𐤍          H3661     𐤊𐤍𐤍          verb
  𐤉𐤊𐤎          H3680     𐤊𐤎𐤄          H3676     𐤊𐤎            verb
  𐤉𐤊𐤎𐤅        H3680     𐤊𐤎𐤄          H3676     𐤊𐤎            verb
  𐤉𐤊𐤎𐤊        H3680     𐤊𐤎𐤄          H3676     𐤊𐤎            verb
  𐤉𐤊𐤓𐤎𐤌𐤍𐤄  H430      𐤀𐤋𐤄𐤉𐤌      H3765     𐤊𐤓𐤎𐤌        verb
  𐤉𐤊𐤔𐤉𐤋𐤅𐤄𐤅  H3372     𐤊𐤔𐤉𐤋        H3781     𐤊𐤔𐤉𐤋        verb
  𐤉𐤌𐤃          H4058     𐤌𐤃𐤃          H4055     𐤌𐤃            verb
  𐤉𐤌𐤃𐤅        H4058     𐤌𐤃𐤃          H4055     𐤌𐤃            verb
  𐤉𐤌𐤈𐤀        H1701     𐤃𐤁𐤓𐤄        H4291     𐤌𐤈𐤀          verb
  𐤉𐤌𐤑          H4680     𐤌𐤑𐤄          H4671     𐤌𐤑            verb
  𐤉𐤌𐤑𐤅        H4680     𐤌𐤑𐤄          H4671     𐤌𐤑            verb
  𐤉𐤌𐤒𐤅        H4743     𐤌𐤒𐤒          H4716     𐤌𐤒            verb
  𐤉𐤌𐤔          H4959     𐤌𐤔𐤔          H4851     𐤌𐤔            verb
  𐤉𐤌𐤔𐤄𐤅      H4959     𐤌𐤔𐤔          H4851     𐤌𐤔            verb
  𐤉𐤌𐤔𐤍𐤉      H4871     𐤌𐤔𐤄          H4851     𐤌𐤔            verb
  𐤉𐤌𐤕          H4191     𐤌𐤅𐤕          H4962     𐤌𐤕            verb
  𐤉𐤌𐤕𐤌        H4191     𐤌𐤅𐤕          H4962     𐤌𐤕            verb
  𐤉𐤍𐤃𐤄𐤅      H5074     𐤍𐤃𐤃          H5067     𐤍𐤃            verb
  𐤉𐤍𐤅𐤏𐤅𐤍    H589      𐤀𐤍𐤉          H5128     𐤍𐤅𐤏          verb
  𐤉𐤍𐤇𐤅𐤍𐤉    H5148     𐤍𐤇𐤄          H5146     𐤍𐤇            verb
  𐤉𐤍𐤇𐤍𐤅      H5148     𐤍𐤇𐤄          H5168     𐤍𐤇𐤍𐤅        verb
  𐤉𐤍𐤇𐤍𐤉      H5148     𐤍𐤇𐤄          H5146     𐤍𐤇            verb
  𐤉𐤍𐤉          H5106     𐤍𐤅𐤀          H5204     𐤍𐤉            verb
  𐤉𐤍𐤉𐤃        H5110     𐤍𐤅𐤃          H5205     𐤍𐤉𐤃          verb
  𐤉𐤍𐤎          H5127     𐤍𐤅𐤎          H5251     𐤍𐤎            verb
  𐤉𐤍𐤎𐤌        H5254     𐤍𐤎𐤄          H5251     𐤍𐤎            verb
  𐤉𐤍𐤐          H5130     𐤍𐤅𐤐          H5297     𐤍𐤐            verb
  𐤉𐤍𐤒𐤉𐤌      H676      𐤀𐤑𐤁𐤏        H3243     𐤉𐤍𐤒          verb
  𐤉𐤎𐤁𐤁𐤍𐤉    H3254     𐤉𐤎𐤐          H5437     𐤎𐤁𐤁          verb
  𐤉𐤎𐤅𐤃𐤕𐤅    H3248     𐤉𐤎𐤅𐤃𐤄      H3247     𐤉𐤎𐤅𐤃        subs
  𐤉𐤎𐤉𐤓        H5493     𐤎𐤅𐤓          H5518     𐤎𐤉𐤓          verb
  𐤉𐤎𐤉𐤓𐤍𐤄    H5493     𐤎𐤅𐤓          H5518     𐤎𐤉𐤓          verb
  𐤉𐤎𐤋𐤅        H5549     𐤎𐤋𐤋          H5536     𐤎𐤋            verb
  𐤉𐤎𐤌𐤊𐤍𐤉    H7896     𐤔𐤉𐤕          H5564     𐤎𐤌𐤊          verb
  𐤉𐤎𐤓𐤌        H5493     𐤎𐤅𐤓          H5620     𐤎𐤓            verb
  𐤉𐤏𐤅𐤀𐤋      H3273     𐤉𐤏𐤉𐤀𐤋      H3262     𐤉𐤏𐤅𐤀𐤋      nmpr
